abseil-cpp 20250814.1-1
accounts-qml-module 0.7-6
acl 2.3.2-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.10-2
alsa-lib 1.2.15.3-2
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
amd-ucode 20260110-1
aom 3.13.1-2
appmenu-glib-translator-git 25.04.r8.gaea4ea3-1
appmenu-glib-translator-git-debug 25.04.r8.gaea4ea3-1
aquamarine 0.10.0-2
archlinux-keyring 20260206-1
archlinux-xdg-menu 0.7.7-1
asciidoc 10.2.1-3
at-spi2-core 2.58.3-1
atkmm 2.28.4-1
attica 6.22.0-1
attr 2.5.2-1
audit 4.1.2-2
autoconf 2.72-1
autoconf-archive 1:2024.10.16-4
automake 1.18.1-1
avahi 1:0.9rc3-1
aylurs-gtk-shell-git 3.1.1.r0.ge169694-1
aylurs-gtk-shell-git-debug 3.1.1.r0.ge169694-1
baloo 6.22.0-1
baloo-widgets 25.12.2-1
base 3-3
base-devel 1-2
bash 5.3.9-1
binutils 2.46-1
bison 3.8.2-8
blas 3.12.1-2
bluez 5.85-1
bluez-libs 5.85-1
bluez-utils 5.85-1
boost 1.89.0-4
boost-libs 1.89.0-4
breeze-icons 6.22.0-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
btop 1.4.6-1
bubblewrap 0.11.0-1
bun 1.3.9-2
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.120.1-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-2
cava 0.10.7-1
cblas 3.12.1-2
cfitsio 1:4.6.3-1
cifs-utils 7.4-1
cliphist 1:0.7.0-2
cmake 4.2.3-1
comgr 2:7.2.0-1
composable-kernel 7.2.0-1
convertlit 1.8-13
coreutils 9.10-1
cppdap 1.58.0-2
cryptsetup 2.8.4-1
curl 8.18.0-3
dart-sass 1.97.3-1
dav1d 1.5.3-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-units 37-2
dconf 0.49.0-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.38-1
diffutils 3.12-2
discord 1:0.0.124-1
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
dolphin 25.12.2-1
double-conversion 3.4.0-1
duktape 2.7.0-7
dunst 1.13.0-1
e2fsprogs 1.47.3-2
ebook-tools 0.2.2-9
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.3-1
egl-wayland 4:1.1.21-1
egl-wayland2 1.0.0.rc.r57.g1893c37-1
egl-x11 1.0.4-1
eglexternalplatform 1.2.1-1
ell 0.81-1
ex-vi-compat 2-1
exiv2 0.28.7-1
expat 2.7.4-1
fakeroot 1.37.2-1
fastfetch 2.58.0-1
ffmpeg 2:8.0.1-5
fftw 3.3.10-7
file 5.46-5
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 147.0.3-2
flac 1.5.0-1
flex 2.6.4-5
fmt 12.1.0-1
fontconfig 2:2.17.1-1
freetype2 2.14.1-1
fribidi 1.0.16-2
fuse-common 3.18.1-1
fuse3 3.18.1-1
fzf 0.67.0-2
gawk 5.3.2-1
gc 8.2.12-1
gcc 15.2.1+r604+g0b99615a8aef-1
gcc-libs 15.2.1+r604+g0b99615a8aef-1
gd 2.3.3-9
gdbm 1.26-2
gdk-pixbuf2 2.44.4-1
gettext 1.0-1
gflags 2.2.2-5
ghostscript 10.06.0-1
giflib 5.2.2-2
git 2.53.0-1
gjs 2:1.86.0-1
glib-networking 1:2.80.1-1
glib2 2.86.3-2
glib2-devel 2.86.3-2
glib2-docs 2.86.3-2
glibc 2.43+r5+g856c426a7534-1
glibmm 2.66.8-1
glslang 1:1.4.341.0-1
glycin 2.0.8-1
gmp 6.3.0-2
gnu-free-fonts 20120503-9
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.12-1
go 2:1.25.7-1
gobject-introspection 1.86.0-2
gobject-introspection-runtime 1.86.0-2
google-glog 0.7.1-1
gperftools 2.17.2-1
gpgme 2.0.1-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.5-1
graphene 1.10.8-2
graphite 1:1.3.14-5
graphviz 14.1.2-1
grep 3.12-2
grim 1.5.0-2
grimblast-git r154.541628c-1
groff 1.23.0-7
grub 2:2.14-1
grub-customizer 5.2.5-2
grub-customizer-debug 5.2.5-2
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsfonts 20200910-6
gsm 1.0.23-1
gssdp 1.6.4-1
gst-plugin-pipewire 1:1.4.10-2
gst-plugins-bad-libs 1.26.10-5
gst-plugins-base-libs 1.26.10-5
gstreamer 1.26.10-5
gtest 1.17.0-1
gtk-doc 1.35.1-1
gtk-layer-shell 0.10.0-1
gtk-update-icon-cache 1:4.20.3-1
gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtk4-layer-shell 1.3.0-1
gtkmm3 3.24.10-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gts 0.7.6.121130-5
guile 3.0.11-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gwenview 25.12.2-1
gzip 1.14-2
harfbuzz 12.3.2-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-1
hip-runtime-amd 7.2.0-1
hipblas 7.2.0-1
hipblas-common 7.2.0-1
hipblaslt 7.2.0-1
hipcub 7.2.0-1
hipfft 7.2.0-1
hiprand 7.2.0-1
hipsolver 7.2.0-1
hipsparse 7.2.0-1
hsa-rocr 7.2.0-1
htop 3.4.1-1
hwdata 0.404-1
hwloc 2.12.2-1
hyprcursor 0.1.13-3
hyprgraphics 0.5.0-1
hypridle 0.1.7-6
hyprland 0.53.3-2
hyprland-guiutils 0.2.1-2
hyprlang 0.6.8-1
hyprlock 0.9.2-8
hyprpaper 0.8.3-2
hyprpicker 0.4.5-8
hyprsunset 0.3.3-4
hyprtoolkit 0.5.3-1
hyprutils 0.11.0-1
hyprwayland-scanner 0.4.5-1
hyprwire 0.3.0-1
iana-etc 20260203-1
icu 78.2-1
ijs 0.35-6
imagemagick 7.1.2.13-1
iniparser 4.2.6-2
iproute2 6.18.0-1
iptables 1:1.8.11-2
iputils 20250605-1
ipython 9.9.0-1
iso-codes 4.20.1-1
iwd 3.11-1
jansson 2.15.0-1
jbig2dec 0.20-1
jbigkit 2.1-8
jq 1.8.1-1
js140 140.7.0-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 25.12.2-1
karchive 6.22.0-1
kbd 2.9.0-1
kbookmarks 6.22.0-1
kcmutils 6.22.0-1
kcodecs 6.22.0-1
kcolorpicker 0.3.1-5
kcolorscheme 6.22.0-1
kcompletion 6.22.0-1
kconfig 6.22.0-1
kconfigwidgets 6.22.0-1
kcoreaddons 6.22.0-1
kcrash 6.22.0-1
kdbusaddons 6.22.0-1
kdnssd 6.22.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-2
keyutils 1.6.3-3
kfilemetadata 6.22.0-1
kglobalaccel 6.22.0-1
kguiaddons 6.22.1-1
ki18n 6.22.0-1
kiconthemes 6.22.0-1
kidletime 6.22.0-1
kimageannotator 0.7.2-1
kio 6.22.1-1
kio-extras 25.12.2-1
kirigami 6.22.0-1
kitemmodels 6.22.0-1
kitemviews 6.22.0-1
kitty 0.45.0-4
kitty-shell-integration 0.45.0-4
kitty-terminfo 0.45.0-4
kiview-debug 1.1-2
kjobwidgets 6.22.0-1
kmod 34.2-1
knewstuff 6.22.0-1
knotifications 6.22.0-1
kpackage 6.22.0-1
kparts 6.22.0-1
krb5 1.21.3-2
kservice 6.22.0-1
ktextwidgets 6.22.0-1
kuserfeedback 6.22.0-1
kvantum 1.1.6-1
kwallet 6.22.0-1
kwidgetsaddons 6.22.0-1
kwindowsystem 6.22.0-1
kxmlgui 6.22.0-1
l-smash 2.14.5-4
lame 3.101.r6531-1
lapack 3.12.1-2
lcms2 2.18-1
ldb 2:4.23.5-1
leancrypto 1.6.0-1
libaccounts-glib 1.27-3
libaccounts-qt 1.17-1
libarchive 3.8.5-1
libasan 15.2.1+r604+g0b99615a8aef-1
libass 0.17.4-1
libassuan 3.0.0-1
libastal-4-git r855.7d1fac8-1
libastal-4-git-debug r855.7d1fac8-1
libastal-apps-git r855.7d1fac8-1
libastal-apps-git-debug r855.7d1fac8-1
libastal-auth-git r855.7d1fac8-1
libastal-auth-git-debug r855.7d1fac8-1
libastal-battery-git r855.7d1fac8-1
libastal-battery-git-debug r855.7d1fac8-1
libastal-bluetooth-git r855.7d1fac8-1
libastal-bluetooth-git-debug r855.7d1fac8-1
libastal-git r855.7d1fac8-1
libastal-git-debug r855.7d1fac8-1
libastal-gjs-git r855.7d1fac8-1
libastal-greetd-git r855.7d1fac8-1
libastal-greetd-git-debug r855.7d1fac8-1
libastal-hyprland-git r855.7d1fac8-1
libastal-hyprland-git-debug r855.7d1fac8-1
libastal-io-git r855.7d1fac8-1
libastal-io-git-debug r855.7d1fac8-1
libastal-mpris-git r855.7d1fac8-1
libastal-mpris-git-debug r855.7d1fac8-1
libastal-network-git r855.7d1fac8-1
libastal-network-git-debug r855.7d1fac8-1
libastal-notifd-git r855.7d1fac8-1
libastal-notifd-git-debug r855.7d1fac8-1
libastal-powerprofiles-git r855.7d1fac8-1
libastal-powerprofiles-git-debug r855.7d1fac8-1
libastal-river-git r855.7d1fac8-1
libastal-river-git-debug r855.7d1fac8-1
libastal-tray-git r855.7d1fac8-1
libastal-tray-git-debug r855.7d1fac8-1
libastal-wireplumber-git r855.7d1fac8-1
libastal-wireplumber-git-debug r855.7d1fac8-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-7
libatomic 15.2.1+r604+g0b99615a8aef-1
libavc1394 0.5.4-7
libavif 1.3.0-5
libb2 0.98.1-3
libblockdev 3.4.0-2
libblockdev-crypto 3.4.0-2
libblockdev-fs 3.4.0-2
libblockdev-loop 3.4.0-2
libblockdev-mdraid 3.4.0-2
libblockdev-nvme 3.4.0-2
libblockdev-part 3.4.0-2
libblockdev-smart 3.4.0-2
libblockdev-swap 3.4.0-2
libbluray 1.4.0-2
libbpf 1.6.2-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.77-1
libcap-ng 0.9-1
libcava-debug 0.10.7-1
libcava-git r1155.256cf7a-1
libcava-git-debug r1155.256cf7a-1
libcloudproviders 0.4.0-1
libcolord 1.4.8-1
libconfig 1.8.2-1
libcups 2:2.4.16-1
libdaemon 0.14-6
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libde265 1.0.16-2
libdecor 0.2.5-1
libdeflate 1.25-1
libdisplay-info 0.3.0-1
libdovi 3.3.2-1
libdrm 2.4.131-1
libdvdnav 7.0.0-1
libdvdread 7.0.1-1
libebur128 1.2.6-2
libedit 20250104_3.1-1
libei 1.5.0-1
libelf 0.194-1
libepoxy 1.5.10-3
libev 4.33-5
libevdev 1.13.6-1
libevent 2.1.12-5
libfabric 2.4.0-1
libfdk-aac 2.0.3-1
libffi 3.5.2-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libgcc 15.2.1+r604+g0b99615a8aef-1
libgcrypt 1.12.0-1
libgfortran 15.2.1+r604+g0b99615a8aef-1
libgirepository 1.86.0-2
libglvnd 1.7.0-3
libgomp 15.2.1+r604+g0b99615a8aef-1
libgpg-error 1.58-1
libgtop 2.41.3-2
libgudev 238-3
libheif 1.21.2-2
libice 1.1.2-1
libidn 1.43-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 61-1
libinput 1.30.1-1
libisl 0.27-1
libjpeg-turbo 3.1.3-1
libjxl 0.11.2-1
libkdcraw 25.12.2-1
libkexiv2 25.12.2-1
libksba 1.6.7-2
liblc3 1.1.3-2
libldac 2.0.2.3-2
libldap 2.6.12-1
libliftoff 0.5.0-1
liblqr 0.4.3-1
liblsan 15.2.1+r604+g0b99615a8aef-1
libmakepkg-dropins 20-1
libmd 1.1.0-2
libmm-glib 1.24.2-1
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmpdclient 2.23-1
libmtp 1.1.22-1
libmysofa 1.3.3-1
libndp 1.9-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnftnl 1.3.1-1
libnghttp2 1.68.0-1
libnghttp3 1.15.0-1
libngtcp2 1.20.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.54.3-1
libnotify 0.8.8-1
libnsl 2.0.1-1
libnvme 1.16.1-2
libobjc 15.2.1+r604+g0b99615a8aef-1
libogg 1.3.6-1
libopenmpt 0.8.4-1
libp11-kit 0.26.2-1
libpaper 2.2.7-1
libpcap 1.10.6-1
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipewire 1:1.4.10-2
libplacebo 7.351.0-5
libplist 2.7.0-2
libpng 1.6.55-1
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libqalculate 5.9.0-1
libquadmath 15.2.1+r604+g0b99615a8aef-1
libraqm 0.10.4-1
libraw 0.22.0-2
libraw1394 2.1.2-4
librsvg 2:2.61.3-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.7-1
libsigc++ 2.12.1-2
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.20-1
libsoup3 3.6.5-1
libsoxr 0.1.3-4
libssh 0.12.0-1
libssh2 1.11.1-1
libstdc++ 15.2.1+r604+g0b99615a8aef-1
libstemmer 3.0.1-1
libsysprof-capture 49.0-2
libtasn1 4.21.0-1
libtatsu 1.0.5-1
